	Genes	Contig	Operon	Start	End	Strand	E-value	CoverageSeq	CoverageHMM	MAG	release	chunk
94035	CasR_1_CAS-I-II-III-IV-V-VI	NODE_798_length_24022_cov_13.5195	NODE_798_length_24022_cov_13.5195@1	2166	2894	-1	4.50e-03	0.407	0.45	M1856252453	Aug19	2
94036	WYL_3_CAS-I-II-III-IV-V-VI	NODE_7552_length_3829_cov_11.4221	NODE_7552_length_3829_cov_11.4221@1	3451	3828	-1	2.60e-17	0.921	0.657	M1856252453	Aug19	2
94037	AbiEii_0_CAS-III	NODE_1291_length_16009_cov_10.1197	NODE_1291_length_16009_cov_10.1197@1	7633	8478	1	6.30e-06	0.422	0.412	M1856252453	Aug19	2
94038	AbiEii_0_CAS-III	NODE_1291_length_16009_cov_10.1197	NODE_1291_length_16009_cov_10.1197@1	8469	9545	1	1.60e-04	0.56	0.634	M1856252453	Aug19	2
94039	AbiEii_0_CAS-III	NODE_874_length_22352_cov_9.87205	NODE_874_length_22352_cov_9.87205@1	21523	22278	1	2.50e-08	0.536	0.458	M1856252453	Aug19	2
94040	AbiEii_0_CAS-III	NODE_4641_length_5730_cov_9.56053	NODE_4641_length_5730_cov_9.56053@1	2738	3793	-1	9.60e-06	0.443	0.511	M1856252453	Aug19	2
94041	AbiEii_0_CAS-III	NODE_1487_length_14409_cov_17.727	NODE_1487_length_14409_cov_17.727@1	10338	11720	1	6.70e-07	0.325	0.447	M1856252453	Aug19	2
94042	AbiEii_0_CAS-III	NODE_3910_length_6573_cov_7.55492	NODE_3910_length_6573_cov_7.55492@1	4462	5451	1	4.30e-04	0.418	0.465	M1856252453	Aug19	2
94043	Csa3_1_CAS-I-II-III-IV-V-VI	NODE_299_length_49057_cov_9.08475	NODE_299_length_49057_cov_9.08475@1	17904	18209	1	1.90e-17	0.784	0.763	M1856252453	Aug19	2
94044	Cmr1gr7_0_CAS-III-B-III-C	NODE_3574_length_7064_cov_11.7171	NODE_3574_length_7064_cov_11.7171@1	4646	5899	1	5.40e-03	0.409	0.613	M1856252453	Aug19	2
94045	AbiEii_0_CAS-III	NODE_14766_length_2134_cov_17.0534	NODE_14766_length_2134_cov_17.0534@1	1043	1972	-1	2.20e-06	0.387	0.363	M1856252453	Aug19	2
94046	AbiEii_0_CAS-III	NODE_636_length_28427_cov_7.90022	NODE_636_length_28427_cov_7.90022@1	8296	10113	-1	5.90e-11	0.33	0.412	M1856252453	Aug19	2
94047	AbiEii_0_CAS-III	NODE_3328_length_7471_cov_8.06769	NODE_3328_length_7471_cov_8.06769@1	3533	4390	1	1.20e-05	0.395	0.387	M1856252453	Aug19	2
94048	AbiEii_0_CAS-III	NODE_123_length_81049_cov_10.801	NODE_123_length_81049_cov_10.801@1	46353	47390	-1	3.00e-03	0.37	0.327	M1856252453	Aug19	2
94049	AbiEii_0_CAS-III	NODE_2058_length_11215_cov_8.594	NODE_2058_length_11215_cov_8.594@1	2592	3275	1	1.90e-05	0.614	0.472	M1856252453	Aug19	2
94050	Csa3_1_CAS-I-II-III-IV-V-VI	NODE_8233_length_3569_cov_6.8395	NODE_8233_length_3569_cov_6.8395@1	1049	1408	-1	6.90e-22	0.725	0.814	M1856252453	Aug19	2
94051	CysH_0_IVB	NODE_379_length_40587_cov_13.5164	NODE_379_length_40587_cov_13.5164@1	31368	32267	-1	8.90e-17	0.543	0.643	M1856252453	Aug19	2
94052	AbiEii_0_CAS-III	NODE_379_length_40587_cov_13.5164	NODE_379_length_40587_cov_13.5164@1	34527	35585	-1	8.50e-04	0.331	0.338	M1856252453	Aug19	2
94053	Cas3_0_CAS-I	NODE_3648_length_6952_cov_7.50065	NODE_3648_length_6952_cov_7.50065@1	4588	6642	-1	3.10e-08	0.377	0.453	M1856252453	Aug19	2
94054	AbiEii_0_CAS-III	NODE_265_length_53403_cov_13.3517	NODE_265_length_53403_cov_13.3517@1	2991	4103	1	6.90e-08	0.423	0.556	M1856252453	Aug19	2
94055	AbiEii_0_CAS-III	NODE_52_length_120729_cov_10.8635	NODE_52_length_120729_cov_10.8635@1	12378	13088	-1	5.00e-07	0.616	0.528	M1856252453	Aug19	2
94056	AbiEii_0_CAS-III	NODE_52_length_120729_cov_10.8635	NODE_52_length_120729_cov_10.8635@1	13101	13859	-1	1.30e-06	0.522	0.465	M1856252453	Aug19	2
94057	TnsC_0_V-K	NODE_3363_length_7403_cov_13.7929	NODE_3363_length_7403_cov_13.7929@1	1182	1982	-1	2.70e-05	0.479	0.431	M1856252453	Aug19	2
94058	CasR_0_CAS-I-II-III-IV-V-VI	NODE_600_length_30126_cov_10.8377	NODE_600_length_30126_cov_10.8377@1	3	761	1	3.10e-03	0.439	0.52	M1856252453	Aug19	2
94059	WYL_0_CAS-I-II-III-IV-V-VI	NODE_9273_length_3218_cov_9.48909	NODE_9273_length_3218_cov_9.48909@1	2037	2936	-1	5.50e-75	0.99	0.981	M1856252453	Aug19	2
94060	Cas3_1_I	NODE_2137_length_10895_cov_10.5024	NODE_2137_length_10895_cov_10.5024@1	4328	4834	-1	5.20e-05	0.509	0.511	M1856252453	Aug19	2
94061	PD_DExK_0_CAS-I-II-III-IV-V-VI	NODE_4668_length_5702_cov_12.4613	NODE_4668_length_5702_cov_12.4613@1	418	1548	1	2.20e-46	0.432	1.0	M1856252453	Aug19	2
94062	Cmr7_0_IIIB	NODE_629_length_28625_cov_13.3466	NODE_629_length_28625_cov_13.3466@1	827	1285	1	4.30e-04	0.614	0.529	M1856252453	Aug19	2
94063	AbiEii_0_CAS-III	NODE_3039_length_8028_cov_8.89878	NODE_3039_length_8028_cov_8.89878@1	7019	7921	-1	4.00e-05	0.372	0.37	M1856252453	Aug19	2
94064	AbiEii_0_CAS-III	NODE_3988_length_6475_cov_6.35685	NODE_3988_length_6475_cov_6.35685@1	2452	3963	1	1.10e-03	0.339	0.454	M1856252453	Aug19	2
94065	RT_0_CAS-I-II-III-IV-V-VI	NODE_325_length_45756_cov_7.11599	NODE_325_length_45756_cov_7.11599@2	41822	42964	1	4.30e-10	0.588	0.859	M1856252453	Aug19	2
94066	Csa3_1_CAS-I-II-III-IV-V-VI	NODE_325_length_45756_cov_7.11599	NODE_325_length_45756_cov_7.11599@1	17977	18243	1	3.80e-09	0.843	0.636	M1856252453	Aug19	2
94067	Cas3_1_I	NODE_784_length_24169_cov_7.63793	NODE_784_length_24169_cov_7.63793@1	13047	13709	-1	1.50e-03	0.421	0.579	M1856252453	Aug19	2
94068	RT_0_CAS-I-II-III-IV-V-VI	NODE_5028_length_5340_cov_8.21873	NODE_5028_length_5340_cov_8.21873@1	2098	2745	-1	1.20e-12	0.523	0.394	M1856252453	Aug19	2
94069	Csx27_0_CAS-VI-B	NODE_628_length_28753_cov_8.0499	NODE_628_length_28753_cov_8.0499@1	9602	10942	-1	1.10e-04	0.528	0.908	M1856252453	Aug19	2
94070	AbiEii_0_CAS-III	NODE_963_length_20583_cov_11.8159	NODE_963_length_20583_cov_11.8159@1	1331	2755	1	2.20e-10	0.436	0.458	M1856252453	Aug19	2
94071	RecD_0_IVD	NODE_628_length_28753_cov_8.0499	NODE_628_length_28753_cov_8.0499@2	21183	23426	-1	2.00e-75	0.781	0.803	M1856252453	Aug19	2
94072	AbiEii_0_CAS-III	NODE_308_length_47946_cov_11.1968	NODE_308_length_47946_cov_11.1968@1	21549	22682	-1	5.50e-07	0.384	0.514	M1856252453	Aug19	2
94073	RT_0_CAS-III-AM-III-B	NODE_11454_length_2677_cov_8.05988	NODE_11454_length_2677_cov_8.05988@1	172	1968	-1	3.80e-70	0.574	0.946	M1856252453	Aug19	2
94074	Csm3_1_IIIAD	NODE_7252_length_3956_cov_15.1969	NODE_7252_length_3956_cov_15.1969@1	2465	3778	1	2.80e-03	0.416	0.571	M1856252453	Aug19	2
94075	AbiEii_0_CAS-III	NODE_634_length_28508_cov_8.76312	NODE_634_length_28508_cov_8.76312@1	12756	13442	-1	6.70e-06	0.428	0.331	M1856252453	Aug19	2
94076	Csa3_1_CAS-I-II-III-IV-V-VI	NODE_148_length_74458_cov_8.20144	NODE_148_length_74458_cov_8.20144@1	27279	27641	-1	9.70e-22	0.752	0.847	M1856252453	Aug19	2
94077	RecD_0_IVD	NODE_919_length_21425_cov_13.0109	NODE_919_length_21425_cov_13.0109@1	13798	16062	1	1.20e-97	0.848	0.857	M1856252453	Aug19	2
94078	Cas3HD_0_CAS-I	NODE_441_length_37490_cov_11.1867	NODE_441_length_37490_cov_11.1867@1	5569	6516	-1	2.90e-10	0.513	0.803	M1856252453	Aug19	2
94079	AbiEii_0_CAS-III	NODE_2338_length_10004_cov_11.1091	NODE_2338_length_10004_cov_11.1091@1	3492	4250	1	2.30e-04	0.352	0.303	M1856252453	Aug19	2
94080	DEDDh_0_CAS-I-II-III-IV-V-VI	NODE_1773_length_12610_cov_14.7146	NODE_1773_length_12610_cov_14.7146@1	1334	2293	-1	5.20e-18	0.503	0.925	M1856252453	Aug19	2
94081	Csn2_7_CAS-II-A	NODE_7105_length_4014_cov_8.07957	NODE_7105_length_4014_cov_8.07957@1	1480	2355	-1	1.70e-04	0.401	0.325	M1856252453	Aug19	2
94082	CasR_0_CAS-I-II-III-IV-V-VI	NODE_490_length_35225_cov_14.1293	NODE_490_length_35225_cov_14.1293@1	7897	8616	1	4.00e-04	0.654	0.581	M1856252453	Aug19	2
94083	AbiEii_0_CAS-III	NODE_2772_length_8637_cov_6.56933	NODE_2772_length_8637_cov_6.56933@1	5440	6138	1	7.00e-06	0.416	0.324	M1856252453	Aug19	2
94084	CasR_1_CAS-I-II-III-IV-V-VI	NODE_12307_length_2515_cov_8.96707	NODE_12307_length_2515_cov_8.96707@1	1251	1574	1	4.60e-03	0.648	0.303	M1856252453	Aug19	2
94085	AbiEii_0_CAS-III	NODE_1390_length_15043_cov_9.95276	NODE_1390_length_15043_cov_9.95276@1	4794	6296	1	8.40e-03	0.343	0.567	M1856252453	Aug19	2
94086	AbiEii_0_CAS-III	NODE_1135_length_17901_cov_8.94822	NODE_1135_length_17901_cov_8.94822@1	1379	1966	-1	2.20e-05	0.434	0.303	M1856252453	Aug19	2
94087	AbiEii_0_CAS-III	NODE_1849_length_12237_cov_9.12305	NODE_1849_length_12237_cov_9.12305@1	4837	5652	1	2.50e-04	0.404	0.373	M1856252453	Aug19	2
94088	AbiEii_0_CAS-III	NODE_1849_length_12237_cov_9.12305	NODE_1849_length_12237_cov_9.12305@1	5709	6467	1	9.20e-05	0.549	0.451	M1856252453	Aug19	2
94089	AbiEii_0_CAS-III	NODE_1773_length_12610_cov_14.7146	NODE_1773_length_12610_cov_14.7146@2	7731	8642	-1	2.20e-03	0.309	0.349	M1856252453	Aug19	2
94090	AbiEii_0_CAS-III	NODE_1773_length_12610_cov_14.7146	NODE_1773_length_12610_cov_14.7146@2	8635	9648	-1	2.50e-03	0.476	0.532	M1856252453	Aug19	2
94091	AbiEii_0_CAS-III	NODE_308_length_47946_cov_11.1968	NODE_308_length_47946_cov_11.1968@2	44396	45151	-1	8.40e-09	0.702	0.623	M1856252453	Aug19	2
94092	RT_0_CAS-III-AM-III-B	NODE_1301_length_15944_cov_10.8641	NODE_1301_length_15944_cov_10.8641@1	7314	8348	-1	2.40e-53	0.577	0.638	M1856252453	Aug19	2
94093	CasR_0_CAS-III-B-III-D	NODE_270_length_52485_cov_6.92558	NODE_270_length_52485_cov_6.92558@1	32318	33946	1	3.30e-03	0.442	0.404	M1856252453	Aug19	2
94094	AbiEii_0_CAS-III	NODE_261_length_53746_cov_13.5558	NODE_261_length_53746_cov_13.5558@1	13275	14348	-1	3.30e-05	0.324	0.391	M1856252453	Aug19	2
94095	CasR_1_CAS-I-II-III-IV-V-VI	NODE_507_length_34281_cov_12.6727	NODE_507_length_34281_cov_12.6727@1	8096	8533	1	3.00e-05	0.466	0.307	M1856252453	Aug19	2
94096	WYL_0_CAS-I-II-III-IV-V-VI	NODE_1531_length_14089_cov_8.26422	NODE_1531_length_14089_cov_8.26422@1	3355	3996	-1	6.10e-08	0.556	0.364	M1856252453	Aug19	2
94097	Cas11b_1_CAS-I-B	NODE_1021_length_19602_cov_7.647	NODE_1021_length_19602_cov_7.647@1	18942	19181	1	1.10e-03	0.775	0.346	M1856252453	Aug19	2
94098	Csf2_1_IVA3	NODE_1989_length_11491_cov_27.7043	NODE_1989_length_11491_cov_27.7043@1	10687	11490	1	9.50e-04	0.47	0.529	M1856252453	Aug19	2
94099	AbiEii_0_CAS-III	NODE_3777_length_6756_cov_7.21086	NODE_3777_length_6756_cov_7.21086@1	5943	6755	-1	1.50e-03	0.446	0.408	M1856252453	Aug19	2
94100	Cas3_1_I	NODE_743_length_25332_cov_9.86913	NODE_743_length_25332_cov_9.86913@1	24139	24795	1	1.20e-07	0.338	0.438	M1856252453	Aug19	2
